year,industry,mv/max_mv_median
2023.0,logistics,0.0027157039971099487
2023.0,real-estate,0.07750553909389932
2023.0,defi,0.001354564323681237
2023.0,analytics,0.009257549581425422
2023.0,media,0.0052874625668596345
2023.0,software,0.5707032023412288
2023.0,metaverse,0.001957990145499362
2023.0,hardware,0.07032190005743072
2023.0,tourism,0.008450680466797072
2023.0,sports,0.0033797570680220617
2023.0,insurance,0.011410247611473507
2023.0,sharing-economy,0.032501645767942254
2023.0,art,0.009566592898979608
2023.0,marketing,0.0679909884596324
2023.0,entertainment,0.003361005675761067
2023.0,ai,0.00289373171708827
2023.0,derivatives,0.004158893273508667
2023.0,services,0.029889801358129943
2023.0,health,0.020469549427988936
2023.0,vr-ar,0.003066665123998332
2023.0,video,0.02591536662531818
2023.0,gaming,0.0014068088486149577
2023.0,transport,0.5023196205978863
2023.0,education,0.10993349253962909
2023.0,gaming-guild,0.13876648622416848
2023.0,lending-borowing,0.004797478727423776
2023.0,energy,0.07607272777819175
2023.0,gambling,0.00886491766411815
2023.0,iot,0.010238175800855755
2023.0,food-beverage,0.6190466784299925
2023.0,hospitality,0.5661934595237348
2023.0,content-creation,0.02106150718562627
2023.0,e-commerce,0.03416546982989619
2023.0,communications-social-media,0.04689425059993922
2024.0,finance-banking,0.5164038309502894
2024.0,web3,0.0058301952150062505
2024.0,retail,0.03152287342310343
2024.0,music,0.011022199244220932
2024.0,logistics,0.0027157039971099487
2024.0,real-estate,0.07750553909389932
2024.0,defi,0.001354564323681237
2024.0,analytics,0.009257549581425422
2024.0,media,0.0052874625668596345
2024.0,software,0.5707032023412288
2024.0,metaverse,0.001957990145499362
2024.0,hardware,0.07032190005743072
2024.0,tourism,0.008450680466797072
2024.0,sports,0.0033797570680220617
2024.0,insurance,0.011410247611473507
2024.0,sharing-economy,0.032501645767942254
2024.0,art,0.009566592898979608
2024.0,marketing,0.0679909884596324
2024.0,entertainment,0.003361005675761067
2024.0,ai,0.00289373171708827
2024.0,derivatives,0.004158893273508667
2024.0,services,0.029889801358129943
2024.0,health,0.020469549427988936
2024.0,vr-ar,0.003066665123998332
2024.0,video,0.02591536662531818
2024.0,gaming,0.0014068088486149577
2024.0,transport,0.5023196205978863
2024.0,education,0.10993349253962909
2024.0,gaming-guild,0.13876648622416848
2024.0,lending-borowing,0.004797478727423776
2024.0,energy,0.07607272777819175
2024.0,gambling,0.00886491766411815
2024.0,iot,0.010238175800855755
2024.0,food-beverage,0.6190466784299925
2024.0,hospitality,0.5661934595237348
2024.0,content-creation,0.02106150718562627
2024.0,e-commerce,0.03416546982989619
2024.0,communications-social-media,0.04689425059993922
